CPQ ID,Account ID,CreatedDate,Product Group,X36 MRC List,X36 NRR List,X36 NPV List,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
CPQ-000001,Acct-000001,10/4/2016,Ethernet,1621.68,922,11894.29,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network
CPQ-000002,Acct-000002,10/4/2016,Wavelengths - Metro,1445.92,2766,19926.89,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
CPQ-000002,Acct-000002,10/4/2016,Wavelengths - Metro,1445.92,2766,19926.89,Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,On Zayo Network
CPQ-000003,Acct-000003,10/4/2016,Ethernet,1420.38,922,28437.18,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000004,Acct-000004,10/4/2016,Ethernet,1553.61,1613.5,28654.35,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network
CPQ-000005,Acct-000005,10/4/2016,IP Services,2633.23,922,67649.89,Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network
CPQ-000006,Acct-000002,10/4/2016,Ethernet,467.93,461,10305.45,Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247,On Zayo Network
CPQ-000007,Acct-000006,10/4/2016,Ethernet,4474.4,922,31235.65,Bldg-352629,Denver,560 Golden Ridge Rd,Golden,CO,80401,661.78,Not on Zayo Network
CPQ-000008,Acct-000007,10/4/2016,Ethernet,666.15, $-   ,11560.17,Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network
CPQ-000008,Acct-000007,10/4/2016,Ethernet,666.15, $-   ,11560.17,Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000009,Acct-000007,10/4/2016,Ethernet,1761.66,922,12843.38,Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000010,Acct-000008,10/4/2016,Ethernet,1451.97,691.5,10518.85,Bldg-132256,Denver,4 Inverness Ct E,Englewood,CO,80112,628.87,Build in Progress
CPQ-000011,Acct-000007,10/4/2016,Ethernet,993.93,922,16611.38,Bldg-061719,Atlanta,12600 Deerfield Pkwy,Alpharetta,GA,30004,91.05,On Zayo Network
CPQ-000011,Acct-000007,10/4/2016,Ethernet,993.93,922,16611.38,Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000012,Acct-000009,10/4/2016,Ethernet,2440.43,922,27072.86,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000012,Acct-000009,10/4/2016,Ethernet,2440.43,922,27072.86,Bldg-126458,Dallas,12770 Merit Dr,Dallas,TX,75251,112.66,Not on Zayo Network
CPQ-000013,Acct-000007,10/4/2016,Ethernet,2865.4,922,20326.76,Bldg-061718,Atlanta,13000 Deerfield Pkwy,Alpharetta,GA,30004,393.44,Not on Zayo Network
CPQ-000013,Acct-000007,10/4/2016,Ethernet,2865.4,922,20326.76,Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000014,Acct-000007,10/4/2016,Ethernet,865.98, $-   ,15060.12,Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,On Zayo Network
CPQ-000015,Acct-000010,10/4/2016,Ethernet,1108.65,922,22024.08,Bldg-119712,Dallas,2101 Cedar Springs Rd,Dallas,TX,75201,139.25,On Zayo Network
CPQ-000016,Acct-000011,10/4/2016,zColo, $-   , $-   , $-   ,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000017,Acct-000012,10/4/2016,IP Services,3291.54,922,85748.56,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network
CPQ-000018,Acct-000013,10/4/2016,Wavelengths - Long Haul,3750.08,2766, $-   ,Bldg-118397,Dallas,1300 W Mockingbird Ln,Dallas,TX,75247,51,On Zayo Network
CPQ-000019,Acct-000014,10/5/2016,Wavelengths - Long Haul,2791.26,2766, $-   ,Bldg-014863,Atlanta,55 Park Pl NE,Atlanta,GA,30303,120.14,On Zayo Network
CPQ-000019,Acct-000014,10/5/2016,Wavelengths - Long Haul,2791.26,2766, $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000020,Acct-000015,10/5/2016,Ethernet,544.99,461,14507.83,Bldg-115207,Dallas,1001 E Campbell Rd,Richardson,TX,75081,300.96,On Zayo Network
CPQ-000021,Acct-000015,10/5/2016,Ethernet,544.99,461,14507.83,Bldg-115207,Dallas,1001 E Campbell Rd,Richardson,TX,75081,300.96,On Zayo Network
CPQ-000022,Acct-000016,10/4/2016,Ethernet,3279.51,922,23134.38,Bldg-121758,Dallas,400 N Akard St,Dallas,TX,75201,84.42,On Zayo Network
CPQ-000022,Acct-000016,10/4/2016,Ethernet,3279.51,922,23134.38,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000023,Acct-000016,10/4/2016,Ethernet,3622.08,922,25456.95,Bldg-121758,Dallas,400 N Akard St,Dallas,TX,75201,84.42,On Zayo Network
CPQ-000023,Acct-000016,10/4/2016,Ethernet,3622.08,922,25456.95,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000024,Acct-000017,10/5/2016,Wavelengths - Long Haul,2209.29,3607.2,24455.63,Bldg-111204,Denver,6400 S Fiddlers Green Cir,Englewood,CO,80111,621.87,On Zayo Network
CPQ-000025,Acct-000018,10/5/2016,Ethernet,4038.87,1152.5,23832.79,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000025,Acct-000018,10/5/2016,Ethernet,4038.87,1152.5,23832.79,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000026,Acct-000018,10/5/2016,Wavelengths - Metro,5202.8,2996.5,43309.5,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000026,Acct-000018,10/5/2016,Wavelengths - Metro,5202.8,2996.5,43309.5,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000027,Acct-000018,10/5/2016,Ethernet,3692.7,1152.5,21830.48,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000027,Acct-000018,10/5/2016,Ethernet,3692.7,1152.5,21830.48,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000028,Acct-000019,10/4/2016,zColo,876.67,1152.5,17356.95,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000029,Acct-000020,10/5/2016,IP Services,732.76,922,9249.58,Bldg-081145,Denver,110 16th St,Denver,CO,80202,133.87,On Zayo Network
CPQ-000030,Acct-000014,10/5/2016,Wavelengths - Long Haul,2791.26,2766, $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000031,Acct-000021,10/4/2016,zColo,248.94,276.6,7064.5,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network
CPQ-000032,Acct-000022,10/5/2016,Ethernet,532.1,461,9312.2,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network
CPQ-000033,Acct-000023,10/4/2016,IP Services,2278.05,922,22086.93,Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000034,Acct-000002,10/5/2016,Wavelengths - Metro,1445.92,2766,19926.89,Bldg-114698,Dallas,1116 Houston St,Fort Worth,TX,76102,123.09,On Zayo Network
CPQ-000034,Acct-000002,10/5/2016,Wavelengths - Metro,1445.92,2766,19926.89,Bldg-121340,Dallas,2440 Marsh Ln,Carrollton,TX,75006,250.98,On Zayo Network
CPQ-000035,Acct-000023,10/4/2016,IP Services,2278.05,922,22086.93,Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000036,Acct-000023,10/4/2016,IP Services,2742.95,922,34895.36,Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000037,Acct-000017,10/5/2016,Ethernet,1416.65,922,29196.41,Bldg-111204,Denver,6400 S Fiddlers Green Cir,Englewood,CO,80111,621.87,On Zayo Network
CPQ-000038,Acct-000024,10/4/2016,IP Services,1881.24,922,15826.87,Bldg-494058,Dallas,2670 Edmonds Ln,Lewisville,TX,75067,1173.59,Not on Zayo Network
CPQ-000039,Acct-000025,10/5/2016,Ethernet,7965.75,461,54457.28,Bldg-491099,Atlanta,1775 M H Jackson Service Rd,Atlanta,GA,30354,,Build in Progress
CPQ-000040,Acct-000026,10/5/2016,IP Services,936.59,922,20905.72,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
CPQ-000041,Acct-000026,10/5/2016,Wavelengths - Long Haul,2679.49,2766,23959.78,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
CPQ-000042,Acct-000027,10/5/2016,IP Services,784.05,922,13492.84,Bldg-146958,Dallas,12222 Merit Dr,Dallas,TX,75251,236.8,On Zayo Network
CPQ-000043,Acct-000028,10/5/2016,IP Services,2257.06,9220,128763.43,Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000044,Acct-000028,10/5/2016,IP Services,1974.92,9220,115951.36,Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network
CPQ-000045,Acct-000029,10/5/2016,IP Services,691.5,922,11113.23,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
